,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
73,맘꽃가든,SLOWER-1,옵 션 1,온습도계,MF-SHT3x,"0 to 100%RH specified range,-40°C to +125°C specified range,-0.3V to 6V supply voltage range",맘꽃가든,대한민국,"110,000원"
74,주식회사 우주,SUN-V02,옵 션 1,NVR,DS-7608NI-K2,8채널,HKVISION,중국,"320,000원"
75,주식회사 우주,SUN-V02,옵 션 2,CCTV,DS-EDE4A225IW-DE,200만화소 PTZ,HKVISION,중국,"800,000원"
76,주식회사 우주,SUN-V02,옵 션 3,CCTV,DS-ECD2020F-I,고정형 200만 IP카메라,HKVISION,중국,"150,000원"
77,주식회사 우주,SUN-V02,옵 션 4,모니터,삼성모니터,"24""/1920*1080",삼성,한국,"300,000원"
78,(주)청오엔지니어링,COFF-3000,옵 션 1,CCTV,DH-IPC-HFW1431S,실시간 움직임 감지,다후아,중국,"156,000원"
79,(주)청오엔지니어링,COFF-3000,옵 션 2,NVR,NVR4108HS-8P-4KS2,CCTV 저장,다후아,중국,"800,000원"
80,(주)청오엔지니어링,COFF-3000,옵 션 3,모니터,LS24F350FHKXKR,화면출력,삼성,한국,"400,000원"
81,(주)이화글로벌,CPV-Q2906KX,옵 션 1,,,선택 구성품 정보가 존재하지 않습니다.,,,원
82,농부이야기,K1-SF,옵 션 1,전자밸브,버마드전자밸브(밸브소켓포함),50MM,버마드,수입/이스라엘,"170,000원"
83,농부이야기,K1-SF,옵 션 2,전자유량계,디지털수도미터,"외부전원형, 50MM",신한정밀(주),한국,"1,000,000원"
84,(주)경농,KN-SI-CI-001,옵 션 1,CO2 센서,바이살라,0-5000ppm,바이살라,필란드,"2,200,000원"
85,(주)경농,KN-SI-CI-001,옵 션 2,CO2 센서,프리바,0-3000ppm,프리바,네덜란드,"6,000,000원"
86,(주)경농,KN-SI-CI-001,옵 션 3,수온센서,난방용,3K/NTC,프리바,네덜란드,"220,000원"
87,케이디솔루션(주),KDS-700YFC,옵 션 1,무선화재 감지기,FDT-451VSH,447MHz/10mW,(주)로제타텍,대한민국,"330,000원"
88,케이디솔루션(주),KDS-700YFC,옵 션 2,ZCT 센서,SH104,25mA/30*50/3ea,(주)성한트렌스텍,대한민국,"115,500원"
89,제트텍,ZFARM,옵 션 1,이산화탄소센서,KCD-HP,"0~3,000ppm",코리아디지탈,한국,"400,000원"
90,제트텍,ZFARM,옵 션 2,일사량센서,SWSR-7500F,0 ~ 2000 W/m2,코리아디지탈,한국,"380,000원"
91,제트텍,ZFARM,옵 션 3,풍향센서,SWAP-7300,0 ~ 360º,코리아디지탈,한국,"450,000원"
92,제트텍,ZFARM,옵 션 4,풍향센서,SWWS-7320,0 ~ 75 m/s,코리아디지탈,한국,"450,000원"
93,제트텍,ZFARM,옵 션 5,EC/지온/지습센서,KSM-8900,지습 =  0 - 99.9% 토양EC 0 - 6.0dS/m 지온 = 0 - 60 °C,코리아디지탈,한국,"550,000원"
94,제트텍,ZFARM,옵 션 6,IP카메라,DS-2CD1021-I,200만화소 4mm,하이크비전,중국,"80,000원"
95,제트텍,ZFARM,옵 션 7,NVR,NVR-108-B,8CH NVR,하이룩,중국,"250,000원"
96,제트텍,ZFARM,옵 션 8,UPS,BE700-KR,700VA / 405W,Schneider Electric,한국,"180,000원"
97,제트텍,ZFARM,옵 션 9,온습도센서,THD-WD2-T,온도 = -19.9~60.0℃ 습도 = 0.0~99.9%RH,(주)오토닉스,한국,"130,000원"
98,제트텍,ZFARM,옵 션 10,우적센서,DRC-3000,감지 / 비감지,태성일렉트로닉,한국,"150,000원"
99,제트텍,ZFARM,옵 션 11,센서노드,센서노드,통신방식 : RS485 / TCP/IP 전원 : 220VAC / 12VDC,ZTEK,한국,"150,000원"
100,주식회사 수경팜스,SKDA-2000,옵 션 1,타이머,IRT16-M,전자 타이머,한영,한국,"30,000원"
101,주식회사 수경팜스,SKDA-2000,옵 션 2,온도계,FOX-2000TT,전자 온도계,코노텍,한국,"50,000원"
102,주식회사 수경팜스,SKDA-2000,옵 션 3,CCTV,QCP500,500만화소. PTZ기능,이디라임,중국,"60,000원"
103,한국아이오티주식회사,HK-CONICT-10,옵 션 1,환경센서,HK-ES-1,"온도, 습도, 풍속, 풍향, 강수, 조도",한국아이오티주식회사,한국,"275,000원"
104,한국아이오티주식회사,HK-CONICT-10,옵 션 2,가스센서,HK-GS-1,"암모니아, 메탄, 대기질센서",한국아이오티주식회사,한국,"1,350,000원"
